Seleccion,Unos ,aleatorio,aleatorio1
0.0217833003,0.5180104454,0.7377254341,0.05867631093
0.121132473,0.6595961253,0.6972813235,0.3589078464
0.4554909353,0.3468247683,0.822785192,0.4905950069
0.2112087952,0.7446558981,0.3872343935,0.05626266395
0.8874096164,0.6747404312,0.9206466908,0.4566020536
0.1492664928,0.6571605391,0.229564049,0.5889567975
0.5790312303,0.06036653053,0.985640236,0.3520649169
0.7041767717,0.5231396633,0.4260201769,0.7669378244
0.4114288389,0.9234790529,0.4136146674,0.4541664673
0.7462405649,0.1087340398,0.3760371734,0.8577308007
0.7017631247,0.8505632201,0.2202128448,0.73133182
0.7549877983,0.3830327758,0.2772332255,0.5292861871
0.8804916668,0.04701934796,0.692106133,0.3169261965
0.8429141579,0.338782976,0.8172516744,0.3895320928
0.1802341884,0.08182489765,0.5187705231,0.4050638961
0.785988405,0.1453811385,0.6209832351,0.2411326388
0.009765165403,0.6345852289,0.9423987132,0.07948588425
0.2408399155,0.6976053244,0.9438699111,0.5719149036
0.9700390233,0.7033165739,0.2760784109,0.1674122588
0.6939857532,0.6162475194,0.008863456302,0.6562580072
0.2600577606,0.7711767358,0.1708246052,0.3224604712
0.526383332,0.9463439462,0.9691373142,0.4777480147
0.324337714,0.1319572601,0.4913500085,0.880954021
0.724986345,0.8970775969,0.5247642622,0.3094289543
0.003383197778,0.9385554226,0.3000981336,0.6442406951
0.4360142987,0.7975570097,0.7153293533,0.8728071704
0.865779066,0.3620062112,0.3731326483,0.5044866157
0.7586896497,0.1283392595,0.5419937434,0.2029036121
0.9013012401,0.1686043737,0.6667809577,0.5945629379
0.0329883857,0.1897495487,0.8323280441,0.1364376371
0.9856443437,0.7541987502,0.7424262814,0.9024123584
0.9932622585,0.5018729441,0.6983071683,0.962385373
0.04777436448,0.4373783621,0.8296360017,0.4544560504
0.05825580371,0.5690164518,0.2503508752,0.1439496708
0.5826184307,0.3685727036,0.7676936696,0.2759460578
0.1225357572,0.9305136303,0.2895480517,0.3028244513
0.5464755447,0.7870069277,0.8577700067,0.1076269974
0.3568134819,0.7593279681,0.1212289912,0.4657298798
0.2338540297,0.5957550528,0.2386918753,0.693938043
0.755708382,0.6928619931,0.1713306915,0.5271401839
0.5572460199,0.1849326853,0.431564762,0.5334010818
0.7224320977,0.9865103024,0.9972784274,0.3931192932
0.3631275432,0.01088042122,0.6538172437,0.9575685096
0.7838423869,0.2775612722,0.07292373616,0.7002520744
0.05021399649,0.8323704287,0.4961468993,0.8523147039
0.8459724076,0.3269493807,0.6278340449,0.785311862
0.881894936,0.3901473243,0.5812066571,0.6669538509
0.9131159153,0.1671290738,0.5888245421,0.09958521999
0.6458982643,0.7287116735,0.6196871943,0.1010224945
0.3446736027,0.1171460703,0.7476993375,0.939553588
0.2463845006,0.8159214087,0.6947601843,0.5712021873
0.05498488729,0.4172442375,0.3670969823,0.2667525819
0.08656419366,0.3577661467,0.7642114579,0.1232458793
0.3554440631,0.7577472242,0.5370370397,0.1986635477
0.5536420341,0.1837138976,0.5708096205,0.9662921592
0.9592332237,0.5844116143,0.2269901097,0.1544137479
0.3803064093,0.8736669527,0.8934849566,0.2963577698
0.2474175767,0.4080515694,0.06931976525,0.4487787263
0.4187869465,0.9001222467,0.8253959522,0.358484728
0.5467990897,0.4959779291,0.1543795231,0.4981637873
0.5095799229,0.8537224844,0.2533703836,0.2050574976
0.2190711303,0.8567584683,0.2157928896,0.6974865169
0.4469209514,0.6903189363,0.3212305306,0.829482904
0.8195573666,0.4811838746,0.025257654,0.3661753015
0.8533299325,0.5227165301,0.1649366984,0.7897567619
0.6826698741,0.1785386922,0.5624095011,0.454101676
0.6530647538,0.08824469388,0.616921607,0.01979442022
0.8841395038,0.9822702529,0.4607389513,0.7641318902
0.8495208816,0.3826096574,0.5599958541,0.952611791
0.1785044525,0.2038060953,0.4164891515,0.3533095375
0.06819012217,0.4875778246,0.89080895,0.7792761811
0.2169849897,0.2309780435,0.6235939954,0.1792572735
0.8776548865,0.3859072748,0.9522192391,0.2963618304
0.307777966,0.6486956135,0.5838678384,0.09534515556
0.2982390583,0.3797626632,0.01434925987,0.4956845601
0.268051824,0.5118081359,0.1423613882,0.1825548759
0.6181137368,0.8116813443,0.1732240404,0.1873061591
0.2755586899,0.3205562461,0.9631347564,0.588313147
0.483376192,0.9767367353,0.9849965856,0.2522997192
0.4741956263,0.9097338786,0.4151196501,0.04531460511
0.6826958741,0.06179650806,0.2815114967,0.1175621892
0.6477189248,0.8044800877,0.3581938972,0.7511681762
0.50864361,0.002004138432,0.2150455217,0.8763137027
0.8663881653,0.3778654676,0.2213064197,0.8021410743
0.5707736158,0.05210890114,0.4414999241,0.2942117666
0.6758529297,0.1837469909,0.9983752888,0.8751756189
0.1973489698,0.9791930832,0.8658447833,0.1185683759
0.628736528,0.4033442106,0.7623786171,0.05084887985
0.383364659,0.5350313562,0.6975257229,0.2057780962
0.1965691982,0.8603456687,0.2193800901,0.4692830891
0.298423598,0.6939061367,0.9867162889,0.1667686083
0.5065994123,0.5326177093,0.008219805854,0.3668958852
0.03007658533,0.6577632507,0.4379845583,0.600837252
0.7288519088,0.08466140127,0.8370341436,0.2328750094
0.2229494721,0.8506361374,0.404708274,0.7973242109
0.6235981031,0.02558568582,0.238268742,0.45154425
0.8899697127,0.9333881144,0.5607164527,0.6003391175
0.5771983556,0.07497380925,0.4647231444,0.6250675634
0.7216506523,0.2299030405,0.4209623733,0.673373662
0.7528716166,0.02570744508,0.6869756558,0.1977363039
0.6523180605,0.4263561059,0.5630849349,0.5738530748
0.1815627022,0.9569017866,0.495723766,0.004334466464
0.9944089142,0.6585437119,0.01793644539,0.8915118465
0.1195544556,0.5153953364,0.340146588,0.9646083244
0.9291864968,0.3308157524,0.8289923513,0.1880267577
0.8282746285,0.4527363649,0.9609887532,0.3993936073
0.6184229126,0.415158871,0.8939858965,0.03107305258
0.2795428829,0.6491924928,0.2946376048,0.1274633684
0.4450873027,0.8467165583,0.591340714,0.2497422931
0.2204671675,0.7312278305,0.3589144958,0.6802237146
0.3779046735,0.8563733719,0.7955789561,0.4232656065
0.5198486954,0.5607588224,0.2191604164,0.5658112676
0.5743608162,0.9156367908,0.4848153719,0.5282337736
0.5422474063,0.2471286364,0.9165152191,0.3953422595
0.5117018448,0.7550998297,0.386011409,0.8025325096
0.5174131091,0.4571000821,0.3484339151,0.6893515626
0.9181108259,0.8458927912,0.4852463725,0.7628063675
0.1094573434,0.1515882978,0.6271903944,0.5188825545
0.6261143445,0.2738672225,0.3147773645,0.09439152281
0.9489203972,0.3054465289,0.6921839396,0.06191978575
0.07809925318,0.7057859185,0.4986437755,0.8912597274
0.2432853458,0.1453206186,0.2634057852,0.9221657064
0.04123971293,0.426225746,0.05427072354,0.9763195001
0.04996975964,0.5287967851,0.4905768418,0.11790518
0.816302808,0.2328238937,0.8908671606,0.2378763537
0.2464258875,0.587343535,0.7809111574,0.2006571868
0.234020378,0.4514931342,0.847334015,0.06740733073
0.465095128,0.4504560574,0.08100932455,0.02660490788
0.1898365075,0.8539713051,0.02014067413,0.3843494781
0.1224753385,0.5175995651,0.1573114438,0.7853564362
0.7811641025,0.1737800394,0.8319132193,0.1909476257
0.32111226,0.4785900623,0.9868424506,0.6170373758
0.6213437806,0.0004444146149,0.3896901298,0.4153500699
0.4749704762,0.9097921041,0.2968418187,0.6898160976
0.4472915314,0.9435186617,0.1536934432,0.7203637495
0.8050360868,0.2247821013,0.3847681932,0.7741592162
0.8714589593,0.8822270693,0.2380365617,0.9161032381
0.8728962338,0.05072985218,0.7119980331,0.591664965
0.04426560353,0.9178410047,0.5794675276,0.09058650279
0.5645178477,0.3417808071,0.6455320581,0.1236424443
0.2636514983,0.4734679527,0.4111484672,0.9165342387
0.01096737999,0.2070432622,0.8412715467,0.1829058483
0.01491294411,0.3157976082,0.9788006434,0.1387867204
0.5793621456,0.5046358362,0.7218425502,0.9916539585
0.7436993296,0.2767881055,0.7846821666,0.4152354189
0.4424746531,0.7982841456,0.8119188723,0.2139064402
0.2957430216,0.7309229766,0.3767264009,0.5109469701
0.5038849423,0.7420750319,0.9518914863,0.0734357215
0.603592457,0.6470108736,0.1797413224,0.5723572593
0.201956414,0.6800667854,0.03623460489,0.6978611278
0.6936687792,0.1990545656,0.0428538299,0.3898630081
0.5672697985,0.7393301894,0.4005983852,0.9113590482
0.3630742179,0.1399788502,0.5351030768,0.454139914
0.153580844,0.8064736971,0.2093465103,0.9401157861
0.3411065077,0.005241305351,0.5896592309,0.7384284803
0.8360438166,0.137286793,0.5343232902,0.1616516285
0.9102179275,0.5278590565,0.02603564046,0.03781000818
0.7667112249,0.3913843013,0.8079053869,0.9711164077
0.4624729594,0.3538067924,0.8355004048,0.3288609631
0.8512656834,0.4793106609,0.3999496212,0.06324467318
0.5503993191,0.04662646423,0.5299886355,0.1883902146
0.1591151039,0.6698757668,0.2258973423,0.6188716212
0.316552595,0.7032900057,0.05981615227,0.2533837598
0.7168919995,0.7549355247,0.1578083379,0.4127279013
0.1460835869,0.7625534097,0.4263298951,0.4668816951
0.4092302676,0.1857765728,0.1135585381,0.5006542759
0.7087451489,0.9214282051,0.4913234403,0.7612466586
0.6227251255,0.02882286764,0.3878572741,0.2610743481
0.8596253491,0.7845407275,0.3321630063,0.9598496716
0.9563739772,0.3457650001,0.8242336985,0.4603970927
0.7895761181,0.4709105415,0.1616939982,0.7922472654
0.8847017019,0.1523631627,0.6336984778,0.1267006791
0.6498220387,0.2775087041,0.9225954742,0.08625656845
0.4403286499,0.3767656068,0.3281866786,0.9869465848
0.9827542511,0.4910066245,0.1161850151,0.9493690909
0.114750653,0.5935776785,0.4132464513,0.07702292191
0.04774779626,0.5531335678,0.04613578408,0.3026572322
0.2026770126,0.2851992775,0.7568273648,0.2654380504
0.2070699836,0.5162740276,0.9121149083,0.3905835918
0.5298760214,0.7429173898,0.3124543128,0.09138578634
0.5130127686,0.051834748,0.7380626442,0.08220522065
0.1901228188,0.5823804436,0.2220923371,0.7584060568
0.479019845,0.1439630433,0.1550894953,0.5169905035
0.6107069906,0.8017663234,0.05162332905,0.5900869963
0.7061908866,0.9734940352,0.4544709934,0.4801309633
0.4480200968,0.07821502193,0.2530929588,0.9077457681
0.7704677925,0.2666949377,0.3851384315,0.785144628
0.03934767686,0.2895629947,0.4466824699,0.6139149324
0.9362398526,0.9470079627,0.2110861674,0.6501957879
0.9376771271,0.3739061133,0.6422414645,0.4314206812
0.9976501418,0.3417927033,0.05516467991,0.8386109313
0.629298741,0.08980522066,0.4852877743,0.9605315438
0.1034072145,0.3160902707,0.5092995511,0.9229540499
0.1091184639,0.1798815577,0.3112355102,0.6557364137
0.7629373577,0.1555533096,0.8185563596,0.8868111638
0.052192711,0.4423003732,0.7282623613,0.08980505734
0.7165376103,0.3749391894,0.8856998673,0.2549911351
0.5041776197,0.6380398618,0.5599433008,0.05366215636
0.04376745014,0.2066201289,0.8495569663,0.2057247858
0.3436406585,0.8402261308,0.05004258516,0.9131914377
0.3376850068,0.3950352872,0.01949702369,0.4121129755
0.04171213025,0.5169558998,0.8759903211,0.4487521581
0.5334244954,0.9470789793,0.9730972762,0.488014092
0.5937558223,0.4705561523,0.8762955524,0.6593834618
0.2028299341,0.9797345664,0.2831274904,0.3139618429
0.9016052576,0.6462294133,0.3074975942,0.8132416929
0.4421242083,0.06981087368,0.3681872631,0.4539344569
0.8424636129,0.9770425092,0.1490538144,0.7792487693
0.8507490812,0.7957306723,0.5490349067,0.910935915
0.6064669411,0.1727789203,0.6838979104,0.585846917
0.3020173357,0.9685373166,0.4502309439,0.8518601995
0.4659961926,0.005176514081,0.6477550095,0.003564501895
0.1651298581,0.6613569884,0.4002479553,0.9362033181
0.13588305,0.1760765377,0.8406278813,0.2336021602
0.8395518463,0.3151539429,0.6745466764,0.8709809155
0.3316225385,0.3696660637,0.7712953194,0.285853823
0.924611619,0.2687541954,0.8989491355,0.1823876568
0.2823561744,0.8033736987,0.6365577745,0.1125181982
0.4242511106,0.4444274564,0.1060539645,0.6343725654
0.2403222515,0.8683672439,0.2581165939,0.7840735995
0.7327512708,0.3075399789,0.9468935453,0.5774468125
0.2041793654,0.5935703883,0.07203908675,0.2417917117
0.4243728698,0.993909778,0.03768652169,0.8903983642
0.6325148054,0.02548908433,0.248428987,0.8947913203
0.2645525778,0.8951058449,0.6706199176,0.5590871487
0.9633279013,0.2165213081,0.4234711756,0.05151615316
0.4889550071,0.2222325725,0.1226048262,0.7891248071
0.2129017518,0.3616683048,0.2530021527,0.9167786381
0.8875035125,0.392889284,0.8887581021,0.3090770433
0.03956612705,0.2916190887,0.9221723558,0.7382686307
0.3052210676,0.3588963307,0.7518706096,0.1357414185
0.002706586793,0.4909418332,0.1522100141,0.1895368852
0.2639037989,0.8915904642,0.8362137282,0.08862501687
0.2882739027,0.7784095321,0.9701167656,0.6010283599
0.2270442586,0.6167936086,0.09562063413,0.9898210838
0.4475960901,0.6415220396,0.06090974199,0.6882380802
0.6790291673,0.0716451191,0.5526221071,0.3170200777
0.5125896502,0.9179707381,0.09284866007,0.3805763335
0.6130901105,0.01471936618,0.222027531,0.8497141963
0.5121782274,0.02078894272,0.6456090212,0.5898311398
0.03439093654,0.6921657894,0.0508418687,0.7149766813
0.6857015556,0.2136618295,0.7098889746,0.6628656546
0.8374058431,0.1815484195,0.2530281526,0.7948620565
0.6357185522,0.4158480984,0.5500686677,0.02531243716
0.801262957,0.01394599833,0.4794825549,0.9877349432
0.08503467139,0.2446624213,0.6344117713,0.9789126748
0.0861136337,0.5995403897,0.05000134787,0.954458644
0.3753689721,0.4153499789,0.4261181038,0.7876607999
0.7784519018,0.4397200828,0.9504807457,0.4864361234
0.2020333622,0.8723514519,0.8831195619,0.1155764479
0.3333621807,0.2714010223,0.9143378448,0.1787743766
0.4112881537,0.9050070241,0.04315840348,0.2027861683
0.3107346125,0.8189869859,0.9757481489,0.337649172
0.3648884062,0.8401321757,0.8490399267,0.5135330515
0.5036074843,0.01185987261,0.0407447565,0.5527949854
0.6585367156,0.5353370457,0.07415902511,0.6127680001
0.5260061952,0.2140461416,0.5727222358,0.3787427213
0.8578563828,0.8117857293,0.002486749872,0.3624746248
0.5069051017,0.04286047934,0.009151467765,0.3532940442
0.9072444913,0.3980967599,0.04841341658,0.3284816863
0.1739253423,0.3449635893,0.8259405773,0.1849749688
0.576649945,0.813743125,0.3248621151,0.4852065192
0.5760564045,0.9715389581,0.2578592584,0.748353185
0.2400429766,0.9045361014,0.2887192141,0.6445287066
0.8089606646,0.3023212079,0.9494808723,0.5771675376
0.7768472695,0.7453756673,0.3730623327,0.7353216829
0.7389114485,0.2145135302,0.5739062786,0.4202138325
0.8611903881,0.9188989807,0.4151261259,0.9268180426
0.5655758237,0.9097184001,0.5399133402,0.9871493694
0.9233203939,0.6110019983,0.5023358462,0.7534824029
0.234746012,0.7184665103,0.4001592459,0.1836054973
0.8812864711,0.5093314635,0.8073495109,0.6862997886
0.2819841878,0.3047775558,0.8462531326,0.4768063998
0.1035389527,0.4593484451,0.6241386204,0.983531354
0.9736058017,0.6348739975,0.6786507264,0.3063373917
0.3742544476,0.30239474,0.7808634384,0.5691257304
0.1303306346,0.7027341445,0.3420877259,0.9750261763
0.6976464528,0.6324603506,0.8394101882,0.3757239079
0.1299192266,0.5435737105,0.1716187029,0.5335197261
0.5371094916,0.0360027298,0.9273365628,0.240986363
0.6597467434,0.4419031607,0.2129658419,0.7250160857
0.3637738818,0.7104247329,0.3381113833,0.4097364539
0.72116011,0.03323075573,0.3008922165,0.8100758435
0.588176311,0.7983510925,0.1983573039,0.7062513651
0.6798428413,0.3075295066,0.1604214829,0.5074306462
0.8049883827,0.1026172719,0.6444511758,0.27536277
0.8985120669,0.2575464883,0.772821661,0.3140288236
0.1219305152,0.9657297794,0.4768487695,0.101310506
0.7280430589,0.1235256125,0.6016359838,0.899623215
0.9285286777,0.5923051483,0.6955180101,0.796515361
0.02778558048,0.4306583937,0.6379665585,0.2656532238
0.9281172698,0.4338613833,0.9698167461,0.08868404583
0.3585986764,0.3665001846,0.7280428956,0.5956465681
0.01317704251,0.5210711037,0.2591218916,0.3038298741
0.2533448706,0.508622776,0.8939923573,0.4558924738
0.05165757969,0.05681230312,0.4158467245,0.8329407368
0.7034891461,0.8215743128,0.4460360493,0.2617739971
0.9843942587,0.8827600391,0.2753759909,0.5310121936
0.3601527025,0.1487733216,0.6909655525,0.8538182462
0.9217352872,0.2811280357,0.3283442929,0.4286250046
0.6778114742,0.08068430232,0.4997136627,0.1245337262
0.7512662792,0.1463905057,0.6248592041,0.6480108844
0.9771930021,0.1707606245,0.7190995575,0.07813397879
0.7758149377,0.7126353237,0.6841226081,0.8466169748
0.9516988172,0.4570846036,0.6167123535,0.886882089
0.005852596007,0.3893650927,0.7512661159,0.3942029383
0.03604193572,0.544294324,0.04087978133,0.1020279173
0.5578963029,0.08743656444,0.7151232298,0.2537322048
0.07523912707,0.8550103463,0.2337526532,0.1863710209
0.5016871893,0.7111453166,0.776533519,0.0603303673
0.3145334013,0.6809580822,0.07393236112,0.4209415393
0.181283575,0.6721358287,0.02146300733,0.6516579623
0.7432244869,0.6345583347,0.1491168384,0.5081512597
0.4760095323,0.1062044723,0.3896430085,0.4783223375
0.6408372829,0.9445885489,0.9557150009,0.4462089275
0.3076904569,0.9693169798,0.6090288883,0.8759736948
0.5973041373,0.5337661813,0.01426176566,0.6448150179
0.9747107124,0.8101565607,0.437843226,0.7083712886
0.8008257252,0.2792944236,0.5498224861,0.724700408
0.8342399789,0.3428506942,0.371377251,0.6218071684
0.8887520997,0.9773658953,0.5129629458,0.0519302628
0.8963699847,0.6757828917,0.5642501378,0.07665869377
0.2995269053,0.04164278628,0.5980227037,0.1398566075
0.204462747,0.7379098351,0.8721304043,0.7510806819
0.9798399303,0.4703338718,0.5469754919,0.4498560054
0.1654532443,0.4323980508,0.9473148815,0.3067076299
0.2967820628,0.9273353448,0.7434316197,0.0514952184
0.6974307236,0.3671756334,0.753913059,0.04195629582
0.106246842,0.767515023,0.1818434421,0.07317727509
0.3955021804,0.8285202702,0.8458299994,0.218346211
0.3277826844,0.3833294267,0.01137441913,0.3732754423
0.3969314205,0.875758446,0.6782275931,0.3204477763
0.4995024596,0.4483229719,0.9441917899,0.4427267159
0.4619249657,0.8085758168,0.1778670995,0.1577608675
0.1968572772,0.7812551842,0.1377813309,0.6498315598
0.4279320272,0.6381067938,0.2629268723,0.7155377632
0.7779939252,0.3340155304,0.0001771841975,0.3471863624
0.8114081789,0.5754478373,0.1201483579,0.7481933503
0.7382677832,0.09730220449,0.5208460746,0.4121799076
0.8699549288,0.03316594956,0.5749998683,0.9410662073
0.8261941577,0.9632813287,0.3467938105,0.840154339
0.7711509957,0.3403295768,0.5352737263,0.8946664598
0.9683167193,0.1590177399,0.3691925214,0.2749396517
0.9926868232,0.4402811945,0.8095724623,0.7034145849
0.1954877908,0.2062559008,0.5677986118,0.1186458194
0.8529327438,0.271962134,0.7653226624,0.2412830861
0.2597646817,0.60677386,0.5087228963,0.9788917401
0.253450703,0.3046176914,0.935979374,0.4476712758
0.2264883826,0.4363048519,0.06076658832,0.1377665206
0.5991247977,0.7558859458,0.1575152015,0.1457427326
0.1616135491,0.3965787098,0.9416375426,0.5693242079
0.5364658263,0.8958585747,0.943074832,0.2300858512
0.3933174508,0.8313639927,0.3728395844,0.9976596479
0.6243922008,0.9859348969,0.2367231414,0.1710101506
0.5919235412,0.693759861,0.3338300965,0.6928645178
0.2988142039,0.9805069395,0.1903233939,0.6280116087
0.7912432083,0.3302105104,0.1425782067,0.501612628
0.5259852455,0.00409561686,0.3659966549,0.008933477372
0.6507724748,0.16189145,0.5638790327,0.5717805558
0.08089555426,0.9605624712,0.5882491366,0.8684627289
0.5843064997,0.1028157345,0.7567519045,0.80110156
0.1164177283,0.2312779661,0.3912640431,0.1613480679
0.9292639403,0.554083989,0.2728280366,0.4273613505
0.05154287995,0.4535304478,0.9648607629,0.1244885277
0.3579550259,0.474314036,0.9888725546,0.2533090715
0.7238149205,0.5790350377,0.3960628196,0.5764734363
0.6501237108,0.0091581172,0.7926041153,0.2859646437
0.1474461731,0.809072696,0.3570533168,0.718595998
0.3453285658,0.003730159816,0.2131882871,0.3760409659
0.8144664286,0.9083076446,0.4471296241,0.5481269899
0.4984701427,0.02731885206,0.3895782023,0.5644561242
0.6739956951,0.1854729973,0.2111329672,0.594645449
0.7285078159,0.9837856915,0.6082474429,0.1164998162
0.6304625345,0.4070088397,0.5047812617,0.8246831074
0.1392826215,0.8097334274,0.4377784199,0.9824789405
0.9524871606,0.5776655513,0.0710260946,0.8492317659
0.07512442733,0.5684849707,0.2949999055,0.9226865708
0.9134776728,0.2750203688,0.7870705977,0.1435967294
0.7696126282,0.4001659102,0.7498514309,0.3746714795
0.5400530267,0.340013914,0.8721303556,0.1067371892
0.2043979409,0.6072707392,0.2466243206,0.04909348256
0.2352578966,0.8015698759,0.5436857568,0.1745973511
0.1646717839,0.7065056878,0.3374172969,0.6047204157
0.3196010003,0.1072034343,0.7430084865,0.3823620529
0.4725520653,0.5159704819,0.008972683287,0.4157763216
0.5267058591,0.8733567102,0.406445486,0.447355613
0.4283022655,0.2052068978,0.8356370734,0.3476873023
0.4927129057,0.7000211003,0.235976463,0.7803186565
0.4758496827,0.3987964238,0.4269646535,0.6703626384
0.8733224854,0.8986241133,0.4097430885,0.7212429411
0.06144404424,0.07321841196,0.5856269679,0.4740941991
0.5678106862,0.1987222805,0.272855596,0.1725111955
0.8938416529,0.1611447865,0.6699700716,0.1633306149
0.002595984012,0.5156644129,0.6000546196,0.8705826673
0.03309761269,0.2237986184,0.3422421271,0.9727953942
0.962869827,0.5050620729,0.1356153401,0.9004578741
0.1181573854,0.6302075994,0.5408482025,0.05442713908
0.8259823495,0.3367429976,0.7039705839,0.1799310076
0.3274121769,0.6715547533,0.6341011254,0.1423535136
0.3182315963,0.4099297077,0.7660975273,0.02226066316
0.4235317016,0.3720861715,0.9994145098,0.9846831692
0.1708475684,0.6028025945,0.09902972473,0.3427860516
0.1002614706,0.5936220139,0.1050993162,0.6746362243
0.7335091453,0.09576849551,0.7899914657,0.1687337876
0.2402340845,0.4030867783,0.9416957532,0.5693824186
0.5659067241,0.9245828184,0.3420351726,0.3680534398
0.6972355575,0.7200289107,0.272478018,0.6343790411
0.2374621254,0.919154861,0.03724002767,0.6674349677
0.727024528,0.1771271442,0.3396215108,0.6986559321
0.7902224567,0.8370804017,0.1961148231,0.8529835093
0.8142342484,0.008808083707,0.5025269541,0.5104284773
0.02241007753,0.8992104076,0.5240304562,0.9401932297
0.5229544212,0.2998590386,0.5868700727,0.06820537291
0.2217297447,0.4283212851,0.3299119646,0.8749708122
0.9658206975,0.1258067894,0.897586095,0.1409840948
0.8984595137,0.3921783841,0.9032973593,0.09364005281
0.55499833,0.4491987797,0.6107640112,0.9669318307
0.6624628419,0.2009265092,0.7628266257,0.3908716182
0.3637464402,0.7227808615,0.7646222273,0.166251483
0.2202397376,0.518585281,0.3290714437,0.4322187572
0.3173466927,0.7173529041,0.9296776332,0.9979324225
0.5481553856,0.5301991161,0.1607523833,0.5201451317
0.1203615993,0.6352784449,0.9946711784,0.2064137935
0.6124322915,0.1574911243,0.8330244238,0.3082681933
0.3532658743,0.6974084507,0.3218701872,0.8301225456
0.3440852788,0.1177649822,0.3850681158,0.3990611697
0.1113007634,0.7817515693,0.1514011642,0.6961016699
0.2963181672,0.9243631448,0.4205902899,0.4711232225
0.7887471716,0.1903764273,0.2334365019,0.891838096
0.8854957997,0.2470384957,0.7255071941,0.7654882009
0.7444973718,0.02205736682,0.561382996,0.9463942501
0.1619444833,0.05363665829,0.5857530999,0.2149158223
0.5510955344,0.04158947589,0.3519363369,0.987741404
0.1155447508,0.9650316495,0.4852002801,0.1132452725
0.8782945282,0.6451536241,0.1843339307,0.543368352
0.1665176489,0.6817928067,0.04082722808,0.2124802211
0.6360138389,0.7130137711,0.8759555446,0.3544242281
0.1012952464,0.7202733439,0.3450934075,0.3860035345
0.3669501869,0.1409882025,0.03268036258,0.42228439
0.6897562247,0.8053331167,0.4330197671,0.718966578
0.6012279117,0.9705191944,0.4663880125,0.5172792721
0.8119703919,0.8401386365,0.2566597222,0.9383524727
0.9083606929,0.270261716,0.7490887415,0.4127421355
0.7677205921,0.3957655845,0.1169056428,0.7442339662
0.7407582866,0.09979269306,0.6086179931,0.1048451382
0.5743187547,0.08738719847,0.705366636,0.06762597135
0.227274315,0.2955291191,0.2837566503,0.9114433157
0.9015177634,0.4437099944,0.07426324662,0.8706408779
0.05680530688,0.4799908499,0.3709663707,0.01067826426
0.9894441231,0.5337863165,0.02428025808,0.1529805983
0.2582749366,0.243277524,0.6988820187,0.207134407
0.1651482301,0.4718439993,0.8308784206,0.3118553937
0.4883125949,0.6952624326,0.233726085,0.04946403277
0.3994259549,0.0267542931,0.7968854822,0.04064179417
0.1650423639,0.6612695091,0.07814892182,0.7365505159
0.4313648878,0.06881808627,0.07958619632,0.4919100486
0.5662769623,0.7262630542,0.006476646587,0.5424320391
0.6306876175,0.8947658222,0.4068160362,0.4357009499
0.3950913001,0.8855852416,0.2287291431,0.8658240145
0.580704614,0.1170183039,0.3632828906,0.7322158611
0.9584695163,0.2419080375,0.4044024041,0.6917717504
0.85500335,0.9018612951,0.1691644138,0.8092346345
0.7901504558,0.3319843597,0.8228366283,0.5752093557
0.0794057942,0.3231621062,0.4970800619,0.007840709953
0.5877352997,0.2929748718,0.6516509512,0.1329862514
0.2865106381,0.4931021487,0.6559548424,0.9821352149
0.2889969735,0.3572517777,0.3704166753,0.6138146602
0.9632404071,0.4598258644,0.7430530755,0.8416644664
0.2528540725,0.1972231933,0.6724669777,0.06508291463
0.896774432,0.2990775931,0.8273961941,0.1388960467
0.461897539,0.5596699759,0.5126466707,0.008873815888
0.9682641661,0.9914158463,0.8019020091,0.1634447052
0.1542358071,0.7819224724,0.9360974295,0.8376881387
0.5545751967,0.3728214342,0.0005080994934,0.3570342312
0.9601173155,0.4750341611,0.8344268946,0.405340315
0.4550546095,0.9055155528,0.928308906,0.4064192773
0.6529369873,0.4286343987,0.7947007526,0.5810135759
0.183840995,0.8657894107,0.224823832,0.2388168859
0.8793913896,0.6215072855,0.2524188648,0.8032660874
0.3944692512,0.02251424358,0.427010101,0.4317205889
0.7951669828,0.03299874529,0.07319221812,0.7315938122
0.8260269385,0.7198690611,0.4706650208,0.8636392849
0.4925218003,0.1202084657,0.6259525643,0.5611247892
0.2600955821,0.9134585872,0.3337775284,0.8296463464
0.3908512506,0.7896138895,0.602608327,0.9616427483
0.9524338503,0.5797621885,0.3583261869,0.8946399065
0.07722106457,0.3958333145,0.7990644697,0.1552322744
0.781248188,0.2965233458,0.6555577522,0.7354794725
0.2536109797,0.3277443102,0.7490814514,0.2275501498
0.983434457,0.223607513,0.8512941783,0.104376098
0.2064945781,0.7557187416,0.5556796288,0.03701492904
0.2098888742,0.4200636408,0.05061690796,0.6928370763
0.2159584508,0.8436451161,0.2477826465,0.7622180586
0.6850963136,0.363137873,0.8713902613,0.5530829969
0.1590326978,0.5180671043,0.994027528,0.1941367546
0.3824511312,0.9187648359,0.9564500191,0.6202264897
0.6138842083,0.9700520129,0.2233485321,0.6278444045
0.1890492937,0.6103864349,0.4237391995,0.3154313596
0.7502735663,0.9102596582,0.1568825571,0.7845692224
0.4077185343,0.9191958365,0.8556578955,0.7103965941